,Safety Index,Health Care Index,Cost of Living Index,Pollution Index,Year,City
637,26.266996291718165,59.653725078698855,84.00025087807325,44.96124031007752,2015,"Mexico City, Mexico"
638,25.203955500618044,59.483210912906614,89.98996487706974,42.62116931101934,2018,"Mexico City, Mexico"
639,23.22620519159456,58.40766002098637,91.39488208730558,45.62051727885242,2019,"Mexico City, Mexico"
640,26.798516687268226,58.84050367261281,80.048921224285,48.5039484170108,2014,"Mexico City, Mexico"
641,11.248454882571075,55.141657922350475,77.36452584044154,51.47431717742519,2013,"Mexico City, Mexico"
642,33.68355995055624,54.2890870933893,60.69994982438534,72.98413388393827,2015,"Miami, FL, United States"
643,40.87762669962917,47.140608604407134,59.45810336176618,76.38919075563282,2017,"Miami, FL, United States"
644,42.088998763906055,58.13221406086046,63.0770195684897,77.94682315438672,2019,"Miami, FL, United States"
645,40.50679851668727,58.18467995802729,59.58981435022578,76.79489965949432,2018,"Miami, FL, United States"
646,32.459826946847954,53.08237145855195,63.37180130456598,77.06295732811708,2016,"Miami, FL, United States"
647,38.02224969097651,67.73347324239245,48.243853487205214,48.17793233355067,2013,"Milan, Italy"
648,42.91718170580963,62.722980062959095,50.54565980933265,51.53952039411722,2014,"Milan, Italy"
649,49.15945611866502,67.20881427072403,65.36001003512293,59.30594798232268,2017,"Milan, Italy"
650,41.755253399258336,64.5068205666317,48.118414450577006,18.47424472940665,2012,"Milan, Italy"
651,43.152039555006176,64.08709338929697,61.01981936778725,52.14808374990944,2015,"Milan, Italy"
652,45.90852904820766,72.40293809024135,67.21650777722027,59.71165688618416,2016,"Milan, Italy"
653,51.9035846724351,69.60912906610704,60.16056196688409,59.15380714337462,2018,"Milan, Italy"
654,52.583436341161914,67.33997901364114,67.97541394882087,59.436354415706724,2019,"Milan, Italy"
655,26.786155747836837,61.306400839454355,69.49322629202207,82.37339708758965,2019,"Milwaukee, WI, United States"
656,54.68479604449938,73.37355718782791,62.6944305067737,87.14047670796204,2016,"Minneapolis, MN, United States"
657,46.773794808405434,80.39087093389298,62.44355243351731,90.76287763529668,2018,"Minneapolis, MN, United States"
658,47.26823238566131,79.10545645330537,66.28825890617159,88.39382742881982,2019,"Minneapolis, MN, United States"
659,49.61681087762669,78.48898216159498,61.52784746613145,91.37868579294356,2017,"Minneapolis, MN, United States"
660,75.50061804697157,51.96747114375657,91.39488208730558,77.99753676736941,2018,"Minsk, Belarus"
661,81.10012360939432,51.364113326337886,91.75238334169593,74.78808954575092,2017,"Minsk, Belarus"
662,79.07292954264524,52.97743966421827,92.58655293527346,75.79511700354995,2019,"Minsk, Belarus"
663,76.8974042027194,52.88562434417629,88.127195183141,76.67173802796493,2016,"Minsk, Belarus"
664,72.20024721878862,40.24134312696748,81.10260913196186,71.84669999275519,2015,"Minsk, Belarus"
665,53.609394313967854,63.536201469045125,72.73582538886102,89.17626602912411,2019,"Mississauga, Canada"
666,44.85784919653893,51.28541448058763,92.88133467134972,58.009128450336874,2017,"Monterrey, Mexico"
667,43.99258343634116,56.9386149003148,91.59558454591068,54.66202999347968,2019,"Monterrey, Mexico"
668,43.967861557478365,48.39979013641134,89.02408429503261,65.4785191625009,2016,"Monterrey, Mexico"
669,44.99381953028429,50.944386149003165,89.41921726041144,57.1325074259219,2018,"Monterrey, Mexico"
670,39.35723114956737,59.325813221406094,77.99172102358253,67.18829240020285,2019,"Montevideo, Uruguay"
671,38.40543881334981,54.72193074501574,71.39989964877068,63.565891472868216,2018,"Montevideo, Uruguay"
672,36.22991347342398,59.98163693599162,77.75965880582037,64.32659566760849,2016,"Montevideo, Uruguay"
673,38.60321384425216,62.32948583420777,69.53085800301054,64.40628848800985,2017,"Montevideo, Uruguay"
